NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,472.98857943535864
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,508.9197553489625
2,b38a03232f43b11c9d0788abaf060f7366053b6d,483.00835503999554
3,70b682d9a3636be23f6120fa9d6b164eb3c6002d,483.00835503999554
4,715494628a50142ce8cb17191cfe6d0f3cae0934,483.00835503999554
5,e656d6bad65c93fb2880f1eba5037008c8e75774,452.8830395296096
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,464.73054597577624
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,604.2390463937306
8,043c544a2104aa8a9849f1a703a08d37a2f16839,507.3496369149338
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,483.00835503999554
10,8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,430.39956429376787
11,db4da599aab5bb08dce27094a35fd3e36cd0abce,488.37852293265075
12,940aede382ccb332fab15d413217695ec44ca765,469.7625651288964
13,9ad714b116da76d878dd399d187fccc2dd13dd63,483.00835503999554
14,dd34464a4d780b12a089347ad580418ac57a3055,465.3450899419438
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,483.00835503999554
16,fbfa8cde21a692b51fb86342110b4a334a0fcfdb,576.9572117000907
17,ca8477c8493b09f34d17bb287f9bacf2dd744c32,484.216459361043
18,8b0c675d7fde14953668269d378c588f0df0498b,434.1357100061718
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,420.70489391113745
20,3d203727f27abd83b71732d88d8cb1cc099f363b,528.0193788036279
21,d30d31c8ff45094e9a992c63d4a6f68b245a341a,483.00835503999554
22,c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,483.00835503999554
23,cbc301183dec912f3513ca766bf03dd565f3a38f,483.00835503999554
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,483.00835503999554
25,11282da1ee78c8db45a041db4c744e33df489df0,489.25270842266485
26,03c67f683a415c2ea09b582248bd4cb08528c19d,483.00835503999554
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,448.9091995744397
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,438.4018852289616
